DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn	 q0	 q1	 q2	 q3
1	 117467.095000	 -0.000332	 0.000647	 -0.017484	 0.016309	 -0.034714	 9.847598	 0.005485	 -0.001849	 0.000295	 1.010254	 0.298584	 -3.379395	 1.000000	 -0.000003	 0.000006	 -0.000153
1	 117467.095000	 -0.001090	 0.000674	 -0.020602	 0.016310	 -0.034414	 9.847599	 0.001847	 0.001823	 -0.000039	 1.010254	 0.298584	 -3.383789	 1.000000	 -0.000010	 0.000006	 -0.000180
1	 117467.105000	 -0.000504	 0.000812	 -0.020718	 -0.015071	 -0.030657	 9.874596	 0.003679	 0.001816	 0.000025	 1.010254	 0.298584	 -3.381592	 1.000000	 -0.000004	 0.000007	 -0.000181
1	 117467.114000	 -0.000363	 0.001706	 -0.024565	 0.015937	 -0.033884	 9.847602	 0.003693	 0.003645	 -0.000079	 1.014404	 0.298584	 -3.383789	 1.000000	 -0.000003	 0.000015	 -0.000214
1	 117467.124000	 0.000254	 0.001791	 -0.025553	 0.013271	 -0.059363	 9.879942	 0.003742	 0.001712	 -0.001802	 1.006104	 0.296387	 -3.381592	 1.000000	 0.000002	 0.000016	 -0.000223
1	 117467.135000	 -0.000469	 0.002624	 -0.029360	 0.044722	 -0.033556	 9.849649	 0.001860	 0.003652	 -0.000143	 1.006104	 0.298584	 -3.381592	 1.000000	 -0.000004	 0.000023	 -0.000256
1	 117467.144000	 -0.000771	 0.001019	 -0.029402	 -0.013802	 -0.032991	 9.845560	 0.001819	 -0.001836	 0.000167	 1.010254	 0.298584	 -3.381592	 1.000000	 -0.000007	 0.000009	 -0.000257
1	 117467.144000	 0.000253	 0.000166	 -0.032240	 0.013490	 -0.029573	 9.876644	 0.005499	 -0.000019	 0.000192	 1.006104	 0.298584	 -3.385986	 1.000000	 0.000002	 0.000001	 -0.000281
1	 117467.154000	 -0.000874	 0.001130	 -0.033343	 0.012907	 -0.058449	 9.879948	 0.000090	 0.003554	 -0.002034	 1.012207	 0.302734	 -3.381836	 1.000000	 -0.000008	 0.000010	 -0.000291
1	 117467.164000	 -0.000930	 0.002111	 -0.037261	 0.013044	 -0.029190	 9.876646	 0.003630	 0.003750	 0.001748	 1.014160	 0.302734	 -3.386230	 1.000000	 -0.000008	 0.000018	 -0.000325
1	 117467.175000	 -0.001188	 0.002199	 -0.038280	 0.016403	 -0.064722	 9.821875	 0.001910	 0.001719	 -0.001866	 1.006104	 0.300537	 -3.384033	 1.000000	 -0.000010	 0.000019	 -0.000334
1	 117467.185000	 -0.002232	 0.001427	 -0.043342	 0.014755	 -0.032137	 9.847609	 0.001770	 0.000098	 0.001891	 1.010010	 0.302734	 -3.381836	 1.000000	 -0.000019	 0.000012	 -0.000378
1	 117467.194000	 -0.002528	 0.000695	 -0.043436	 0.012303	 -0.057769	 9.879953	 0.001833	 -0.000006	 0.000064	 1.010010	 0.302734	 -3.386230	 1.000000	 -0.000022	 0.000006	 -0.000379
1	 117467.204000	 -0.003501	 0.000837	 -0.048362	 0.014672	 -0.031841	 9.847610	 0.001784	 0.001927	 0.001788	 1.010254	 0.298584	 -3.388184	 1.000000	 -0.000031	 0.000007	 -0.000422
1	 117467.215000	 -0.003766	 0.000052	 -0.049328	 0.014598	 -0.031690	 9.847611	 0.001896	 -0.000111	 -0.001763	 1.010254	 0.298584	 -3.383789	 1.000000	 -0.000033	 0.000000	 -0.000430
1	 117467.215000	 -0.003040	 -0.000941	 -0.055355	 -0.015059	 -0.060286	 9.848871	 0.005499	 -0.000019	 0.000192	 1.008057	 0.300781	 -3.386230	 1.000000	 -0.000027	 -0.000008	 -0.000483
1	 117467.225000	 -0.002417	 0.000017	 -0.056395	 0.041672	 -0.027883	 9.878699	 0.003756	 0.003541	 -0.001906	 1.005859	 0.302734	 -3.381836	 1.000000	 -0.000021	 0.000000	 -0.000492
1	 117467.234000	 -0.004265	 -0.000821	 -0.059435	 -0.014915	 -0.030649	 9.845565	 -0.000063	 0.000104	 0.001827	 1.008545	 0.290283	 -3.378906	 1.000000	 -0.000037	 -0.000007	 -0.000519
1	 117467.244000	 -0.003655	 -0.001610	 -0.060369	 0.013872	 -0.059811	 9.850924	 0.003729	 -0.000117	 -0.001699	 1.010254	 0.296631	 -3.388184	 1.000000	 -0.000032	 -0.000014	 -0.000527
1	 117467.244000	 -0.003504	 -0.001741	 -0.063354	 0.012228	 -0.027069	 9.876653	 0.003679	 0.001816	 0.000025	 1.010254	 0.300781	 -3.381836	 1.000000	 -0.000031	 -0.000015	 -0.000553
1	 117467.255000	 -0.003787	 -0.000727	 -0.063554	 0.014016	 -0.030174	 9.847617	 0.001860	 0.003652	 -0.000143	 1.010254	 0.300781	 -3.377197	 1.000000	 -0.000033	 -0.000006	 -0.000555
1	 117467.265000	 -0.003407	 0.000266	 -0.067336	 0.011703	 -0.026612	 9.876655	 0.003693	 0.003645	 -0.000079	 1.008057	 0.300781	 -3.386230	 1.000000	 -0.000030	 0.000002	 -0.000588
