DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn
1	 5.598967	 -0.041342	 -0.146085	 -0.016393	 9.906262	 0.045756	 -0.166081	 0.013902	 0.059911	 0.011699	 -0.467773	 0.412354	 -0.076172
2	 5.598967	 -0.124978	 0.083824	 -0.089937	 -0.619661	 9.591735	 2.417525	 -0.056969	 -0.021549	 -0.020349	 -0.500977	 -0.401855	 -0.291748
1	 5.608967	 -0.049954	 -0.167409	 -0.019187	 9.842673	 0.094777	 -0.194848	 0.020824	 0.069459	 0.013037	 -0.471924	 0.407959	 -0.080566
2	 5.608967	 -0.153936	 0.088210	 -0.100098	 -0.623725	 9.587859	 2.480733	 -0.059114	 -0.025313	 -0.013160	 -0.498779	 -0.406250	 -0.291748
1	 5.618967	 -0.058714	 -0.198517	 -0.009299	 9.835292	 0.189239	 -0.110376	 0.020995	 0.065984	 0.016876	 -0.469971	 0.412354	 -0.080566
2	 5.618967	 0.000000	 -0.000000	 0.000000	 -0.593449	 9.558118	 2.427284	 -0.060973	 -0.019927	 -0.005750	 -0.494385	 -0.408203	 -0.298584
1	 5.618967	 -0.000000	 0.000000	 -0.000000	 9.803775	 0.219752	 -0.049118	 0.019094	 0.068089	 0.024119	 -0.465576	 0.412354	 -0.078369
2	 5.628967	 -0.028849	 -0.000116	 -0.006379	 -0.571432	 9.438170	 2.427923	 -0.059243	 -0.020069	 -0.002041	 -0.498779	 -0.401855	 -0.294189
1	 5.628967	 -0.004965	 -0.034630	 0.008936	 9.772086	 0.243946	 -0.046263	 0.019267	 0.064795	 0.031619	 -0.458984	 0.412354	 -0.076172
2	 5.638967	 -0.048158	 0.015962	 -0.008026	 -0.572830	 9.435666	 2.461659	 -0.053526	 -0.012925	 -0.001720	 -0.496582	 -0.406250	 -0.300781
1	 5.638967	 0.002616	 -0.077748	 0.000950	 9.801316	 0.240676	 -0.070320	 0.013621	 0.068659	 0.040621	 -0.465576	 0.418945	 -0.076172
2	 5.648967	 -0.068960	 0.016215	 -0.012378	 -0.596886	 9.468497	 2.407031	 -0.042603	 -0.015110	 -0.001484	 -0.503418	 -0.397705	 -0.296631
1	 5.648967	 0.005301	 -0.119588	 0.009709	 9.835751	 0.181276	 -0.059410	 0.019287	 0.065876	 0.053586	 -0.461182	 0.412354	 -0.078369
2	 5.648967	 -0.078454	 0.016681	 -0.006427	 -0.594658	 9.469252	 2.380393	 -0.020939	 -0.016078	 0.010060	 -0.494629	 -0.401855	 -0.296387
1	 5.658967	 0.023099	 -0.167051	 -0.009585	 9.838387	 0.144865	 -0.080392	 0.017538	 0.064059	 0.055514	 -0.461182	 0.412354	 -0.078369
2	 5.658967	 -0.086246	 0.009054	 -0.008961	 -0.656701	 9.440793	 2.435914	 -0.015540	 -0.014554	 0.015737	 -0.505371	 -0.399902	 -0.289551
1	 5.661600	 0.029029	 -0.211800	 -0.004438	 9.809312	 0.137490	 -0.074821	 0.011967	 0.066011	 0.062769	 -0.467529	 0.407959	 -0.078369
2	 5.668967	 -0.083215	 0.003947	 -0.025467	 -0.596349	 9.492538	 2.501051	 -0.002566	 -0.011267	 0.014323	 -0.498779	 -0.406250	 -0.291748
1	 5.668967	 0.036837	 -0.250686	 -0.004744	 9.872834	 0.076297	 -0.093233	 0.008227	 0.067772	 0.064524	 -0.467529	 0.410156	 -0.080566
2	 5.678967	 -0.082122	 -0.001862	 -0.027315	 -0.562451	 9.521286	 2.474820	 0.002973	 -0.011402	 0.012631	 -0.494629	 -0.399902	 -0.298828
1	 5.678967	 0.042173	 -0.297345	 0.002066	 9.965509	 0.017449	 -0.111627	 0.015477	 0.069911	 0.064402	 -0.463379	 0.412354	 -0.073975
2	 5.688967	 -0.080026	 0.005758	 -0.030374	 -0.585000	 9.610802	 2.478024	 -0.007958	 -0.011001	 0.010524	 -0.499023	 -0.399658	 -0.289551
1	 5.688967	 0.050402	 -0.333703	 -0.001324	 10.023927	 0.019850	 -0.076995	 0.020895	 0.072062	 0.066120	 -0.460938	 0.410156	 -0.082764
2	 5.698967	 -0.098034	 0.004854	 -0.031947	 -0.583992	 9.638187	 2.510580	 -0.037043	 -0.009873	 0.002463	 -0.503174	 -0.401855	 -0.296387
1	 5.698967	 0.058832	 -0.383501	 0.010628	 10.021467	 0.045959	 -0.044778	 0.026464	 0.070829	 0.073512	 -0.463379	 0.416748	 -0.080566
2	 5.698967	 -0.000000	 0.000000	 0.000000	 -0.613163	 9.639119	 2.512865	 -0.055157	 -0.010889	 -0.007197	 -0.503174	 -0.404053	 -0.300781
1	 5.708967	 0.000000	 0.000000	 0.000000	 9.931565	 0.058574	 -0.070327	 0.030051	 0.072901	 0.075238	 -0.465576	 0.412354	 -0.082520
2	 5.708967	 -0.029528	 -0.001143	 -0.003373	 -0.671788	 9.613915	 2.483941	 -0.061006	 -0.014589	 0.001726	 -0.499023	 -0.399902	 -0.294189
1	 5.714967	 0.020794	 -0.047390	 0.016508	 9.897438	 0.113449	 -0.012262	 0.036145	 0.058967	 0.085103	 -0.460938	 0.410156	 -0.080566
2	 5.718967	 -0.062840	 0.000318	 -0.005678	 -0.698242	 9.671426	 2.520227	 -0.073906	 -0.012473	 0.006947	 -0.498779	 -0.401855	 -0.294189
1	 5.718967	 0.042628	 -0.086032	 0.034787	 9.865833	 0.135849	 0.018637	 0.032780	 0.051691	 0.089137	 -0.460938	 0.410156	 -0.076172
2	 5.728967	 -0.100365	 -0.005871	 -0.008138	 -0.728203	 9.642602	 2.523429	 -0.077827	 -0.016147	 0.012253	 -0.494629	 -0.401855	 -0.294189
1	 5.728967	 0.069105	 -0.128940	 0.049721	 9.831977	 0.184245	 0.016811	 0.033081	 0.044382	 0.089502	 -0.458984	 0.414551	 -0.082764
2	 5.738967	 -0.132713	 -0.005469	 -0.018178	 -0.697298	 9.639104	 2.531394	 -0.081788	 -0.018084	 0.021269	 -0.490234	 -0.404053	 -0.287354
1	 5.738967	 0.100062	 -0.167609	 0.053795	 9.829870	 0.202957	 -0.011546	 0.027436	 0.047907	 0.091158	 -0.465576	 0.416748	 -0.084717
2	 5.748967	 -0.171371	 -0.020520	 -0.020230	 -0.725558	 9.637986	 2.565788	 -0.080258	 -0.020204	 0.030420	 -0.503174	 -0.404053	 -0.298584
1	 5.748967	 0.126186	 -0.212314	 0.065095	 9.798249	 0.228119	 0.047786	 0.025607	 0.047834	 0.091160	 -0.465576	 0.414551	 -0.084717
2	 5.748967	 -0.198041	 -0.023473	 -0.044690	 -0.698739	 9.546972	 2.568941	 -0.078680	 -0.022280	 0.037739	 -0.500977	 -0.404053	 -0.294189
1	 5.758967	 0.148482	 -0.251560	 0.070791	 9.776237	 0.128175	 0.031395	 0.016518	 0.045736	 0.093098	 -0.458984	 0.414551	 -0.082764
2	 5.758967	 -0.233467	 -0.044319	 -0.048301	 -0.638878	 9.484814	 2.545541	 -0.073402	 -0.026216	 0.041436	 -0.501221	 -0.395508	 -0.296631
1	 5.768967	 0.176614	 -0.296387	 0.074194	 9.749393	 0.089180	 0.038152	 0.009188	 0.045542	 0.094938	 -0.459229	 0.418945	 -0.086914
2	 5.768967	 -0.262334	 -0.066761	 -0.064440	 -0.578512	 9.422793	 2.521637	 -0.068152	 -0.026638	 0.050725	 -0.500977	 -0.404053	 -0.294189
1	 5.768967	 0.211665	 -0.346578	 0.073083	 9.778508	 0.086458	 0.070768	 0.003822	 0.041952	 0.100620	 -0.461182	 0.416748	 -0.082764
2	 5.778967	 -0.298450	 -0.087820	 -0.065230	 -0.516665	 9.362298	 2.468472	 -0.075106	 -0.020708	 0.043379	 -0.498779	 -0.401855	 -0.298584
1	 5.778967	 0.241422	 -0.393513	 0.070247	 9.780779	 0.049209	 0.077364	 -0.003714	 0.047153	 0.100349	 -0.458984	 0.416748	 -0.082764
