DevID	 CerebusTime	 Roll	 Pitch	 Yaw	 xAcc	 yAcc	 zAcc	 xGyro	 yGyro	 zGyro	 xMagn	 yMagn	 zMagn
1	 53212.799600	 -0.000855	 -0.000559	 0.003709	 -0.092094	 -0.283793	 9.817701	 0.003698	 -0.005460	 0.001860	 0.064697	 0.475098	 -0.288330
1	 53212.809600	 0.000132	 0.001904	 0.003150	 -0.121328	 -0.284399	 9.759097	 0.005460	 0.005493	 -0.007350	 0.058350	 0.475098	 -0.288330
1	 53212.819600	 -0.000546	 -0.000841	 0.003599	 -0.121733	 -0.254518	 9.788106	 0.001869	 -0.005499	 -0.003634	 0.062500	 0.475098	 -0.290527
1	 53212.829600	 -0.001324	 -0.000141	 0.003320	 -0.121179	 -0.283666	 9.788407	 0.001822	 0.001806	 -0.007333	 0.058105	 0.475098	 -0.296875
1	 53212.839600	 -0.002015	 -0.001139	 0.003710	 -0.150879	 -0.254327	 9.817387	 0.001845	 -0.001837	 -0.003652	 0.064697	 0.477295	 -0.292480
1	 53212.849600	 0.000000	 -0.000000	 0.000000	 -0.121108	 -0.283079	 9.817712	 0.001833	 -0.000006	 -0.003661	 0.060303	 0.475098	 -0.290527
1	 53212.849600	 -0.000697	 -0.000124	 0.000362	 -0.121521	 -0.253344	 9.846715	 0.001833	 -0.000006	 -0.003661	 0.064697	 0.477295	 -0.290527
1	 53212.859600	 0.000337	 -0.001944	 0.003229	 -0.091251	 -0.311533	 9.818048	 0.005520	 -0.003643	 -0.003641	 0.064697	 0.479492	 -0.290527
1	 53212.869600	 -0.000373	 -0.000320	 0.003533	 -0.120906	 -0.282639	 9.788440	 0.001808	 0.003656	 -0.003680	 0.064697	 0.475098	 -0.288330
1	 53212.879600	 -0.000224	 -0.000411	 0.007466	 -0.091777	 -0.281723	 9.817763	 0.003665	 -0.000003	 -0.005492	 0.058105	 0.479492	 -0.294678
1	 53212.889600	 -0.000037	 -0.000501	 0.008691	 -0.121435	 -0.252832	 9.788153	 0.003663	 0.000016	 -0.001830	 0.064697	 0.479492	 -0.292725
1	 53212.899600	 -0.001729	 -0.000572	 0.013715	 -0.091333	 -0.310872	 9.788782	 0.000003	 -0.000028	 -0.005493	 0.058105	 0.477295	 -0.292480
1	 53212.899600	 -0.000678	 -0.000685	 0.014056	 -0.121043	 -0.281458	 9.817760	 0.005495	 0.000019	 -0.003660	 0.062500	 0.477295	 -0.290527
1	 53212.909600	 -0.001481	 -0.000800	 0.016797	 -0.121434	 -0.251870	 9.817466	 0.001834	 -0.000016	 -0.005493	 0.060547	 0.472900	 -0.290527
1	 53212.919600	 -0.002189	 -0.000954	 0.016285	 -0.121018	 -0.281019	 9.817773	 0.001834	 -0.000016	 -0.005493	 0.064697	 0.475098	 -0.288330
1	 53212.929600	 0.000000	 -0.000000	 -0.000000	 -0.120678	 -0.310016	 9.818084	 0.005482	 0.001850	 -0.003669	 0.064941	 0.470703	 -0.288330
1	 53212.939600	 0.001051	 -0.000112	 0.000341	 -0.121528	 -0.251291	 9.788192	 0.005495	 0.000019	 -0.003660	 0.062500	 0.477295	 -0.294678
1	 53212.949600	 0.000375	 -0.001120	 0.000422	 -0.120661	 -0.309274	 9.818108	 0.001845	 -0.001837	 -0.003652	 0.060547	 0.470703	 -0.292480
1	 53212.949600	 -0.000329	 -0.000371	 0.000754	 -0.121031	 -0.280142	 9.788511	 0.001820	 0.001825	 -0.003671	 0.069092	 0.477295	 -0.292725
1	 53212.959600	 0.001609	 -0.000510	 -0.000184	 -0.121559	 -0.249866	 9.846803	 0.007327	 0.000022	 -0.005490	 0.066895	 0.477295	 -0.292725
1	 53212.969600	 0.000028	 -0.000670	 -0.000686	 -0.121520	 -0.249879	 9.817516	 0.000003	 -0.000029	 -0.005493	 0.064697	 0.479492	 -0.292725
1	 53212.979600	 0.000193	 -0.001589	 0.004934	 -0.121024	 -0.279026	 9.817829	 0.003677	 -0.001825	 -0.003651	 0.064941	 0.472900	 -0.294678
1	 53212.989600	 0.000360	 -0.001736	 0.004411	 -0.092083	 -0.248716	 9.846847	 0.003665	 -0.000003	 -0.005492	 0.062744	 0.472900	 -0.290527
1	 53212.999600	 -0.000313	 -0.001044	 0.001872	 -0.120972	 -0.278822	 9.788549	 0.001821	 0.001815	 -0.005502	 0.062500	 0.475098	 -0.294678
1	 53212.999600	 0.000738	 -0.001156	 0.002213	 -0.121064	 -0.278217	 9.817852	 0.005495	 0.000019	 -0.003660	 0.060547	 0.472900	 -0.294678
1	 53213.009600	 -0.000000	 -0.000000	 0.000000	 -0.120981	 -0.277920	 9.817861	 0.001846	 -0.001838	 -0.003652	 0.064697	 0.475098	 -0.292480
1	 53213.019600	 0.000187	 -0.000089	 0.001225	 -0.091968	 -0.248615	 9.758988	 0.003663	 0.000016	 -0.001830	 0.064697	 0.479492	 -0.299072
1	 53213.029600	 -0.001410	 0.000672	 0.003573	 -0.120966	 -0.277552	 9.817872	 -0.000010	 0.001802	 -0.005503	 0.064697	 0.475098	 -0.288330
1	 53213.039600	 -0.002107	 0.000548	 0.003934	 -0.150713	 -0.248921	 9.788241	 0.001833	 -0.000007	 -0.003661	 0.060547	 0.472900	 -0.292480
1	 53213.049600	 -0.002783	 -0.000462	 0.004059	 -0.120945	 -0.277335	 9.817878	 0.001846	 -0.001838	 -0.003652	 0.064697	 0.475098	 -0.292480
1	 53213.049600	 -0.003480	 -0.000587	 0.004421	 -0.091595	 -0.276454	 9.847201	 0.001833	 -0.000007	 -0.003661	 0.067139	 0.470703	 -0.292480
1	 53213.059600	 -0.003235	 -0.000756	 0.002323	 -0.092004	 -0.246940	 9.846892	 0.003665	 -0.000003	 -0.005492	 0.064941	 0.472900	 -0.290527
1	 53213.069600	 -0.003075	 -0.000030	 0.001771	 -0.120463	 -0.306282	 9.788918	 0.003651	 0.001828	 -0.005502	 0.064941	 0.472900	 -0.288330
1	 53213.079600	 -0.002826	 -0.000152	 0.002029	 -0.120979	 -0.276379	 9.817905	 0.003663	 0.000017	 -0.001830	 0.060303	 0.475098	 -0.292480
1	 53213.089600	 -0.004408	 -0.000312	 0.001527	 -0.120970	 -0.276233	 9.817909	 0.000003	 -0.000030	 -0.005493	 0.064941	 0.470703	 -0.292480
1	 53213.099600	 0.000000	 -0.000000	 0.000000	 -0.121006	 -0.276405	 9.788617	 0.003651	 0.001838	 -0.003671	 0.060547	 0.472900	 -0.292480
1	 53213.099600	 0.000160	 0.000726	 -0.000552	 -0.120747	 -0.305086	 9.818238	 0.003651	 0.001828	 -0.005502	 0.064697	 0.475098	 -0.292480
1	 53213.109600	 0.000345	 0.000595	 -0.000942	 -0.121665	 -0.246207	 9.817607	 0.003664	 0.000007	 -0.003661	 0.062744	 0.470703	 -0.294678
1	 53213.119600	 0.000518	 -0.000426	 -0.001435	 -0.121152	 -0.275203	 9.817936	 0.003678	 -0.001834	 -0.005482	 0.067139	 0.475098	 -0.286133
1	 53213.129600	 0.001601	 0.000253	 -0.004010	 -0.121567	 -0.245543	 9.817624	 0.005483	 0.001831	 -0.007332	 0.067139	 0.475098	 -0.283936
1	 53213.139600	 0.001795	 -0.000710	 -0.002756	 -0.120668	 -0.304079	 9.788985	 0.003676	 -0.001814	 -0.001819	 0.066895	 0.477295	 -0.288330
1	 53213.149600	 0.001983	 0.000915	 0.000745	 -0.121195	 -0.274169	 9.817964	 0.003638	 0.003659	 -0.005512	 0.062744	 0.472900	 -0.290527
1	 53213.149600	 0.001279	 0.001664	 0.001077	 -0.121379	 -0.274275	 9.788673	 0.001819	 0.001824	 -0.003672	 0.058105	 0.477295	 -0.290527
1	 53213.159600	 0.003178	 0.000685	 0.002098	 -0.121372	 -0.273905	 9.788683	 0.007340	 -0.001797	 -0.003649	 0.062744	 0.472900	 -0.292480
1	 53213.169600	 0.003355	 0.000567	 0.002450	 -0.121725	 -0.244168	 9.788369	 0.003664	 0.000007	 -0.003661	 0.066895	 0.477295	 -0.292725
1	 53213.179600	 0.000000	 -0.000000	 0.000000	 -0.121414	 -0.272511	 9.847294	 0.003651	 0.001828	 -0.005502	 0.062744	 0.472900	 -0.294678
1	 53213.189600	 0.000177	 -0.000118	 0.000351	 -0.121856	 -0.243581	 9.788382	 0.003664	 0.000007	 -0.003661	 0.060547	 0.472900	 -0.294678
1	 53213.199600	 0.000392	 -0.001129	 -0.001974	 -0.092102	 -0.271480	 9.847335	 0.003678	 -0.001824	 -0.003650	 0.062744	 0.470703	 -0.288330
1	 53213.199600	 0.000538	 0.001344	 -0.002584	 -0.121476	 -0.272284	 9.788727	 0.003624	 0.005489	 -0.005523	 0.064697	 0.475098	 -0.288330
